Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Glenlivet Nadurra Oloroso,8.43,0.63,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Milsean,8.43,0.41,11,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glentauchers 1991 18yo (Gordon & MacPhail),8.43,0.24,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Lismore 21yo,8.43,0.18,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 10yo Sherry Oak,8.42,0.31,11,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Wemyss Malts The Spice King,8.42,0.28,13,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Westland Sherry Wood,8.42,0.45,13,$$$$,SingleMalt-like,ABC,B,USA,Malt
Balvenie 12yo Doublewood,8.41,0.33,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Blair Athol 12yo (F&F),8.41,0.44,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Lasanta,8.41,0.38,21,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bruichladdich Rocks,8.38,0.29,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bushmills Black Bush,8.38,0.38,22,$$,SingleMalt-like,ABC,C,Ireland,Blend
Glen Garioch 1999 Sherry Cask Matured,8.38,0.98,7,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach 14yo Sauternes Cask Finish,8.38,0.4,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 15yo Tawny Port Finish,8.38,0.37,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Singleton of Glen Ord 18yo,8.38,0.27,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bladnoch 15yo Adela,8.36,0.35,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 21yo,8.36,0.76,6,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 12yo Double Cask Matured,8.35,0.2,17,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Bladnoch Samsara,8.35,0.31,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 16yo Renaissance Chapter II,8.35,0.57,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 10yo,8.35,0.32,16,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Tomatin Cu Bocan Sherry Edition,8.35,0.3,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt Pomerol Bordeaux Cask Finish,8.34,0.64,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Dalmore King Alexander III,8.34,0.31,10,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glencadam 12yo Port Wood Finish,8.34,0.3,6,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tyrconnell 10yo Sherry Cask Finish,8.34,0.32,7,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Balvenie 12yo Triple Cask,8.33,0.46,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Dalmore Cigar Malt Reserve,8.33,0.66,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Benrinnes 15yo F&F,8.32,0.8,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Dalmore 15yo,8.31,0.47,20,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 12yo Elixir,8.31,0.47,10,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt Sherry Cask Finish,8.3,0.56,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich Malt Master's Edition,8.3,0.29,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Concertmaster Port Cask,8.3,0.54,20,$$$$,SingleMalt-like,ABC,C,Taiwan,Malt
Aberlour 10yo,8.27,0.35,15,$$,SingleMalt-like,ABC,C,Scotland,Malt
Auchentoshan Three Wood,8.27,0.41,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Jura 21yo 200th Anniversary,8.27,0.75,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Writers Tears Red Head Single Malt,8.27,0.42,4,$$$,SingleMalt-like,ABC,C,Irish,Malt
Macallan 1824 Select Oak,8.26,0.34,12,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore Black Rock,8.25,0.33,9,$$,SingleMalt-like,ABC,C,Scotland,Malt
Wemyss Malts Velvet Fig,8.25,1.15,5,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfiddich Reserve Cask,8.24,0.25,8,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glen Moray 16yo,8.23,0.56,6,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenrothes Robur Reserve,8.22,0.4,6,$$,SingleMalt-like,ABC,B,Scotland,Malt
Tullibardine 500 Sherry Finish,8.22,0.28,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Mackmyra Blomstertid,8.2,0.31,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Ben Nevis 10yo,8.17,0.44,11,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bushmills 21yo Single Malt,8.16,2.67,12,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Bushmills Sherry Cask Reserve,8.16,0.43,3,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Singleton of Dufftown Tailfire,8.14,0.48,3,$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenrothes Sherry Cask Reserve,8.13,0.69,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Dalmore Gran Reserva,8.07,0.36,9,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Laphroaig Select,8.04,0.38,15,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 16yo,7.98,0.49,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tullibardine 1993 Port,7.98,0.36,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Longmorn Distiller's Choice,7.97,0.32,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Royal Lochnagar 12yo,7.95,0.31,12,$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut PX Sherry Single Cask 2702,7.92,0.91,3,$$$$,SingleMalt-like,ABC,B,India,Malt
Jura Turas Mara,7.92,0.53,5,$$,SingleMalt-like,ABC,C,Scotland,Malt
Penderyn Madeira,7.89,0.98,13,$$$$,SingleMalt-like,ABC,B,Wales,Malt
Penderyn Sherrywood,7.73,0.57,10,$$$$,SingleMalt-like,ABC,B,Wales,Malt
Singleton of Dufftown Spey Cascade,7.49,0.55,3,$$,SingleMalt-like,ABC,C,Scotland,Malt
Penderyn Legend,7.48,0.95,4,$$$,SingleMalt-like,ABC,B,Wales,Malt
Ichiro's Malt The Joker,9.23,0.18,4,$$$$$+,SingleMalt-like,EF,F,Japan,Malt
Bunnahabhain 40yo,9.14,0.33,6,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Amrut 6yo Virgin Oak Single Cask,9.13,0.2,4,$$$$,SingleMalt-like,EF,E,India,Malt
Hibiki 21yo,9.13,0.25,9,$$$$$+,SingleMalt-like,EF,E,Japan,Blend
Bruichladdich Black Art 3.x 1989,9.09,0.4,12,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Amrut Double Cask,9.08,0.17,7,$$$$,SingleMalt-like,EF,E,India,Malt
Glencadam 25yo,9.08,0.01,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
GlenDronach 19yo Madeira Finish,9.05,0.27,4,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 30yo,9.05,0.12,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Midleton Dair Ghaelach,9.05,0.28,8,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Macallan Edition No. 3,9.04,0.07,3,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Cragganmore 25yo,9.03,0.05,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Redbreast 12yo Cask Strength,9.03,0.34,19,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Bruichladdich Black Art 2.x 1989,9.02,0.15,8,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Reserve Single Cask (various casks),9.01,0.49,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Craigellachie 23yo,8.98,0.25,8,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Compass Box 3yo Deluxe,8.96,0.22,9,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Yamazaki Mizunara,8.95,0.2,8,$$$$$+,SingleMalt-like,EF,E,Japan,Malt
Aultmore 25yo,8.94,0.21,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Box The 2nd Step Collection 02,8.94,0.04,6,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Arran Malt 18yo,8.93,0.12,16,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kavalan ex-Bourbon Oak,8.93,0.26,5,$$$$,SingleMalt-like,EF,E,Taiwan,Malt
Tomatin Decades,8.93,0.5,9,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Nadurra First Fill (White Oak),8.91,0.22,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Amrut Herald,8.9,0.15,6,$$$$,SingleMalt-like,EF,E,India,Malt
Bruichladdich Black Art 5.x 1992,8.9,0.35,7,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Glen Grant 25yo,8.9,0.18,3,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Paul John Single Cask,8.9,0.33,5,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Fusion,8.89,0.25,25,$$$$,SingleMalt-like,EF,E,India,Malt
Glenmorangie Ealanta,8.89,0.28,16,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Yamazaki Limited Edition 2016,8.89,0.23,3,$$$$$+,SingleMalt-like,EF,E,Japan,Malt
Macallan Edition No. 2,8.88,0.2,13,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Bourbon Single Cask,8.85,0.22,10,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt The Devil‰Ûªs Punch Bowl (all chapters),8.85,0.28,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kavalan Solist Ex-Bourbon,8.85,0.21,19,$$$$$,SingleMalt-like,EF,E,Taiwan,Malt
Kininvie 17yo (all batches),8.85,0.3,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt 17yo,8.84,0.23,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenmorangie Astar,8.84,0.25,16,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment GlÌ¦d,8.84,0.42,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Compass Box Spice Tree Extravaganza,8.83,0.27,10,$$$$$,SingleMalt-like,EF,F,Scotland,Malt
Macallan Edition No. 1,8.83,0.53,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan 21yo,8.82,0.26,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka From the Barrel,8.82,0.36,23,$$$,SingleMalt-like,EF,F,Japan,Blend
Amrut Two Continents,8.81,0.45,13,$$$$,SingleMalt-like,EF,E,India,Malt
Glenlivet 21yo Archive (all batches),8.81,0.3,13,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Urberg,8.81,0.24,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Glenfiddich Project XX Experimental Series,8.8,0.22,10,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Midleton Very Rare (all vintages),8.8,0.43,12,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Strathmill 25yo,8.8,0.41,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Aberfeldy 21yo,8.79,0.19,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 25yo,8.79,0.43,15,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Clynelish 14yo,8.79,0.24,17,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Compass Box Spice Tree,8.79,0.31,23,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Cragganmore NAS (Special Release 2016),8.79,0.62,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Midleton Very Rare 2016,8.79,0.4,3,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Mortlach Special Strength,8.79,0.59,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Tokaji Aszu Wine Finish,8.78,0.35,4,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glen Grant Five Decades,8.78,0.23,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka Taketsuru 17yo,8.78,0.26,15,$$$$$,SingleMalt-like,EF,E,Japan,Malt
Old Pulteney 17yo,8.78,0.23,20,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Hakushu 18yo,8.77,0.29,8,$$$$$,SingleMalt-like,EF,F,Japan,Malt
Hibiki 17yo,8.77,0.32,16,$$$$$,SingleMalt-like,EF,E,Japan,Blend
Mackmyra Moment Rimfrost,8.76,0.35,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Nikka Coffey Malt,8.76,0.42,12,$$$$,SingleMalt-like,EF,E,Japan,Malt
Mackmyra Special 04,8.75,0.35,8,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Amrut Bourbon Single Cask,8.74,0.33,13,$$$$,SingleMalt-like,EF,E,India,Malt
Bruichladdich 21yo CuvÌ©e 640 Eroica,8.74,0.4,9,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 19yo Age of Discovery (Bourbon Cask),8.74,0.27,9,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Cask of Dreams,8.74,0.23,7,$$$$$,SingleMalt-like,EF,F,Scotland,Malt
Redbreast 12yo,8.73,0.4,23,$$$,SingleMalt-like,EF,E,Ireland,Malt
Arran Malt Napoleon Cognac Finish,8.72,0.69,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan 18yo Fine Oak,8.72,0.26,7,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Redbreast 15yo,8.72,0.25,15,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Balcones Texas Single Malt Whisky,8.71,0.3,13,$$$$,SingleMalt-like,EF,E,USA,Malt
Glenfiddich 15yo Distillery Edition,8.71,0.27,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Westland Single Cask,8.71,0.2,4,$$$$,SingleMalt-like,EF,E,USA,Malt
Glenmorangie 18yo,8.7,0.3,16,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach 18yo,8.7,0.61,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 03,8.69,0.29,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
AnCnoc 18yo,8.68,0.33,10,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Storas 21yo Rare Cask Reserves Blended,8.68,0.11,4,$$$,SingleMalt-like,EF,E,Scotland,Blend
Balvenie 25yo Single Barrel,8.67,0.92,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Compass Box Oak Cross,8.67,0.33,14,$$$,SingleMalt-like,EF,F,Scotland,Malt
Glen Garioch 12yo,8.67,0.31,16,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Royal Brackla 16yo,8.67,0.28,7,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bunnahabhain 12yo,8.66,0.27,23,$$$,SingleMalt-like,EF,F,Scotland,Malt
Ichiro's Malt Double Distilleries,8.65,0.23,8,$$$$$,SingleMalt-like,EF,E,Japan,Malt
Bruichladdich 21yo CuvÌ©e 382 La Berenice,8.64,0.54,7,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Copperworks American Single Malt,8.64,0.22,5,$$$,SingleMalt-like,EF,E,USA,Malt
Glenrothes Vintage 1995 (all bottlings),8.64,0.26,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 4.x 1990,8.63,0.6,12,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Paul John Classic Select Cask,8.63,0.37,7,$$$$,SingleMalt-like,EF,E,India,Malt
Balvenie 12yo Single Barrel,8.62,0.32,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 09,8.62,0.23,4,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Sullivans Cove American Oak,8.62,0.35,6,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Caol Ila 17yo Unpeated,8.61,0.45,11,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Cipher,8.61,0.32,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kilkerran Work in Progress Sherry Wood,8.61,0.42,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Craigellachie 17yo,8.6,0.19,11,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 18yo,8.59,0.22,24,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Westland American Single Malt,8.59,0.33,14,$$$$,SingleMalt-like,EF,E,USA,Malt
Glenfiddich 18yo,8.58,0.36,21,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Midleton Very Rare 2015,8.57,0.41,5,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Teerenpeli Distiller's Choice KASKI,8.56,0.26,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Glen Grant 18yo,8.55,0.76,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 14yo Rich Oak,8.55,0.33,11,$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Jord,8.55,0.62,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Sullivans Cove Port Cask Strength,8.55,0.62,8,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Teerenpeli Distiller‰Ûªs Choice RASI,8.55,0.35,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Glengoyne 17yo,8.54,0.26,14,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Kininvie 23yo (all batches),8.54,0.35,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Sullivans Cove Bourbon Cask Strength,8.54,0.74,6,$$$$,SingleMalt-like,EF,F,Tasmania,Malt
Yamazaki Distiller's Reserve,8.54,0.31,7,$$$$,SingleMalt-like,EF,E,Japan,Malt
Box The Messenger,8.53,0.41,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Bunnahabhain Stiuireadair,8.53,0.56,4,$$$,SingleMalt-like,EF,F,Scotland,Malt
Nikka Pure Malt Red,8.53,0.33,9,$$$,SingleMalt-like,EF,E,Japan,Malt
Tyrconnell 10yo Madeira Cask Finish,8.53,0.35,11,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Deanston 18yo (Bourbon Finish),8.52,0.48,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Grant 16yo,8.51,0.29,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan 21yo Fine Oak,8.51,0.4,6,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Sauternes Finish,8.5,0.32,13,$$$,SingleMalt-like,EF,E,Scotland,Malt
Balvenie 14yo Carribean Cask,8.5,0.34,20,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Paul John Brilliance,8.5,0.35,9,$$$,SingleMalt-like,EF,E,India,Malt
Mackmyra Moment Solsken,8.49,0.51,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Mackmyra Special 05,8.49,0.38,7,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Bunnahabhain Eirigh Na Greine,8.48,0.41,9,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Green Spot,8.48,0.36,18,$$$$,SingleMalt-like,EF,F,Ireland,Malt
Macallan 12yo Double Cask,8.48,0.39,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach Rare Old,8.48,0.41,14,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage Reserve (NAS),8.47,0.24,7,$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment KÌ_lla,8.47,0.3,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Deveron 18yo,8.45,0.48,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment MalstrÌ¦m (Maelstrom),8.45,0.73,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt
Old Pulteney 12yo,8.45,0.25,26,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord 15yo,8.45,0.42,4,$$$$,SingleMalt-like,EF,E,Scotland,Malt
GlenDronach 8yo The Hielan,8.44,0.32,11,$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan 15yo Fine Oak,8.44,0.51,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka All Malt,8.44,0.18,8,$$,SingleMalt-like,EF,E,Japan,Malt
Tullibardine 25yo,8.43,0.4,6,$$$$$+,SingleMalt-like,EF,E,Ireland,Malt
Benromach Organic,8.42,0.53,15,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Dalmore 12yo,8.42,0.27,20,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Elgin 12yo,8.42,0.2,16,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 10,8.42,0.5,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Nikka Taketsuru 12yo,8.41,0.37,19,$$$$,SingleMalt-like,EF,E,Japan,Malt
Teerenpeli 8yo,8.41,0.41,6,$$$$$,SingleMalt-like,EF,E,Finland,Malt
Bunnahabhain Darach Ur,8.4,0.3,10,$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenfiddich Experimental Series IPA Cask Finish,8.4,0.3,11,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 18yo,8.4,0.14,4,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan 18yo,8.38,0.38,14,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 15yo French Oak,8.38,0.25,19,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Craigellachie 14yo,8.37,0.28,6,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
BenRiach 12yo Horizons,8.36,0.3,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Cragganmore 12yo,8.35,0.29,17,$$$,SingleMalt-like,EF,E,Scotland,Malt
Deveron 12yo,8.35,0.29,6,$$$,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 08,8.35,0.32,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Old Pulteney Navigator,8.35,0.36,13,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glencadam Origin 1825 (NAS),8.34,0.14,3,$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 14yo Bourbon Barrel Reserve,8.33,0.23,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 15yo,8.33,0.18,7,$$$,SingleMalt-like,EF,E,Scotland,Malt
Teeling Small Batch (Rum Cask Finish),8.33,0.41,22,$$,SingleMalt-like,EF,E,Ireland,Blend
Glenrothes Vintage 1998 (2014),8.32,0.61,11,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Tomatin 15yo,8.32,0.54,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Knappogue Castle 14yo Twin Wood,8.31,0.32,4,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Monkey Shoulder,8.31,0.37,19,$$,SingleMalt-like,EF,E,Scotland,Malt
Ohishi Brandy Cask,8.31,0.19,3,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 225 Sauternes Finish,8.31,0.39,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Macallan 1824 Amber,8.3,0.36,13,$$$,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord 12yo,8.3,0.26,6,$$,SingleMalt-like,EF,E,Scotland,Malt
Sullivans Cove Double Cask,8.3,0.48,14,$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Scapa 16yo,8.29,0.29,16,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Wemyss Malts Smooth Gentleman,8.29,0.1,3,$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan 12yo,8.28,0.26,23,$$$,SingleMalt-like,EF,E,Scotland,Malt
Teaninich 10yo (F&F),8.27,0.2,4,,SingleMalt-like,EF,F,Scotland,Malt
Auchentoshan Bartender's Malt,8.26,0.55,4,$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 1989,8.26,0.38,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Glen Breton 21yo,8.26,0.4,3,$$$$$,SingleMalt-like,EF,E,Canada,Malt
Macallan 10yo Fine Oak,8.26,0.3,19,$$$,SingleMalt-like,EF,E,Scotland,Malt
Stalk & Barrel Single Malt (All Casks),8.26,0.42,13,$$$,SingleMalt-like,EF,F,Canada,Malt
Glenrothes Elders' Reserve,8.25,0.71,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tobermory 10yo,8.25,0.42,23,$$$,SingleMalt-like,EF,F,Scotland,Malt
Royal Brackla 12yo,8.24,0.47,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Scallywag,8.24,0.56,14,$$$$,SingleMalt-like,EF,E,Switzerland,Malt
Edradour 10yo,8.23,0.7,17,$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Robert Burns Single Malt,8.22,0.56,8,$$,SingleMalt-like,EF,F,Scotland,Malt
Bruichladdich Sherry Classic,8.22,0.88,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Strathisla 12yo,8.22,0.3,14,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tomintoul 12yo Oloroso Sherry,8.21,0.55,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Select Cask,8.2,0.38,10,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 1993 Sauternes,8.2,0.32,5,$$$,SingleMalt-like,EF,E,Scotland,Malt
Deanston 12yo,8.19,0.46,17,$$$,SingleMalt-like,EF,F,Scotland,Malt
Glenrothes Vintage 2001 (all bottlings),8.18,0.62,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberfeldy 12yo,8.16,0.33,19,$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchroisk 10yo (F&F),8.15,0.1,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Glen Moray 10yo Chardonnay Cask,8.14,0.58,10,$$,SingleMalt-like,EF,F,Scotland,Malt
Gouden Carolus Single Malt,8.14,0.22,4,$$$$,SingleMalt-like,EF,E,Belgium,Malt
Singleton of Dufftown UnitÌ©,8.11,0.27,4,$$,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 15yo Sauternes Finish,8.1,0.52,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Glen Garioch Virgin Oak,8.1,0.51,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Miltonduff 10yo (F&F),8.08,0.42,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Dalmore Valour,8.06,0.36,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 12yo,8.06,0.3,22,$$$,SingleMalt-like,EF,E,Scotland,Malt
